Time,Protocol,Flag,Family,Clusters,SeedAddress,ExpAddress,BTC,USD,Netflow_Bytes,IPaddress,Threats,Port,Prediction
58,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,500,5,A,Botnet,5061,SS
48,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,504,8,A,Botnet,5061,SS
38,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,508,7,A,Botnet,5061,SS
28,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,512,15,A,Botnet,5061,SS
49,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,520,17,A,Botnet,5061,SS
30,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,524,11,A,Botnet,5061,SS
26,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,528,19,A,Botnet,5061,SS
11,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,532,13,A,Botnet,5061,SS
34,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,536,21,A,Botnet,5061,SS
30,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,540,15,A,Botnet,5061,SS
15,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,544,23,A,Botnet,5061,SS
38,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,548,17,A,Botnet,5061,SS
34,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,552,25,A,Botnet,5061,SS
19,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,556,19,A,Botnet,5068,SS
42,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,560,27,A,Botnet,5068,SS
38,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,564,21,A,Botnet,5068,SS
23,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,568,29,A,Botnet,5068,SS
46,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,572,23,A,Botnet,5068,SS
42,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,576,31,A,Botnet,5068,SS
27,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,580,25,A,Botnet,5068,SS
50,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,584,33,A,Botnet,5068,SS
46,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,588,27,A,Botnet,5068,SS
31,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,592,35,A,Botnet,5068,SS
54,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,596,29,A,Botnet,5068,SS
50,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,600,37,A,Botnet,5068,SS
35,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,604,31,A,Botnet,5066,SS
58,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,608,39,A,Botnet,5066,SS
54,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,612,33,A,Botnet,5066,SS
39,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,616,41,A,Botnet,5066,SS
58,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,624,43,A,Botnet,5066,SS
43,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,628,37,A,Botnet,5066,SS
47,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,640,47,A,Botnet,5066,SS
51,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,652,43,A,Botnet,5066,SS
55,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,664,53,A,Botnet,5062,SS
59,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,676,49,A,Botnet,5062,SS
61,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,692,53,A,Botnet,5062,SS
59,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,696,61,A,Botnet,5062,SS
57,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,700,55,A,Botnet,5062,SS
55,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,704,63,A,Botnet,5062,SS
53,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,708,57,A,Botnet,5062,SS
51,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,712,65,A,Botnet,5062,SS
49,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,716,59,A,Botnet,5062,SS
47,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,720,67,A,Botnet,5062,SS
45,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,724,61,A,Botnet,5062,SS
43,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,728,69,A,Botnet,5062,SS
41,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,732,63,A,Botnet,5062,SS
39,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,736,71,A,Botnet,5062,SS
37,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,740,65,A,Botnet,5062,SS
35,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,744,73,A,Botnet,5062,SS
33,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,748,67,A,Botnet,5062,SS
31,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,752,75,A,Botnet,5062,SS
29,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,756,69,A,Botnet,5062,SS
27,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,760,77,A,Botnet,5062,SS
25,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,764,71,A,Botnet,5062,SS
23,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,768,79,A,Botnet,5062,SS
21,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,772,73,A,Botnet,5062,SS
19,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,776,81,A,Botnet,5062,SS
17,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,780,75,A,Botnet,5062,SS
15,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,784,83,A,Botnet,5062,SS
13,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,788,77,A,Botnet,5062,SS
11,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,792,85,A,Botnet,5062,SS
9,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,796,79,A,Botnet,5062,SS
14,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,800,87,A,Botnet,5062,SS
19,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,804,81,A,Botnet,5062,SS
24,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,808,89,A,Botnet,5062,SS
29,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,812,83,A,Botnet,5062,SS
34,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,816,91,A,Botnet,5062,SS
39,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,820,85,A,Botnet,5062,SS
44,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,824,93,A,Botnet,5062,SS
49,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,828,87,A,Botnet,5062,SS
54,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,832,95,A,Botnet,5062,SS
59,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,836,89,A,Botnet,5062,SS
61,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,844,91,A,Botnet,5062,SS
61,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,852,93,A,Botnet,5062,SS
56,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,856,101,A,Botnet,5062,SS
51,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,860,95,A,Botnet,5062,SS
46,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,864,103,A,Botnet,5062,SS
41,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,868,97,A,Botnet,5062,SS
36,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,872,105,A,Botnet,5062,SS
31,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,876,99,A,Botnet,5062,SS
15,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,880,107,A,Botnet,5062,SS
10,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,884,101,A,Botnet,5062,SS
15,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,888,109,A,Botnet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,892,103,A,Botnet,5062,SS
28,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,896,111,A,Botnet,5062,SS
23,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,900,105,A,Botnet,5062,SS
18,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,904,113,A,Botnet,5062,SS
15,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,908,107,A,Botnet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,912,115,A,Botnet,5062,SS
17,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,916,109,A,Botnet,5062,SS
12,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,920,117,A,Botnet,5062,SS
38,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,924,111,A,Botnet,5062,SS
33,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,928,119,A,Botnet,5062,SS
28,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,932,113,A,Botnet,5062,SS
23,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,936,121,A,Botnet,5062,SS
18,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,940,115,A,Botnet,5062,SS
13,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,944,123,A,Botnet,5062,SS
8,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,948,117,A,Botnet,5062,SS
11,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,952,125,A,Botnet,5062,SS
16,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,956,119,A,Botnet,5062,SS
11,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,960,127,A,Botnet,5062,SS
18,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,964,121,A,Botnet,5062,SS
13,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,968,129,A,Botnet,5062,SS
8,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,972,123,A,Botnet,5062,SS
16,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,976,131,A,Botnet,5062,SS
11,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,980,125,A,Botnet,5062,SS
9,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,984,133,A,Botnet,5062,SS
15,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,988,127,A,Botnet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,992,135,A,Botnet,5062,SS
11,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,996,129,A,Botnet,5062,SS
38,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1000,137,A,Botnet,5062,SS
33,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1004,131,A,Botnet,5062,SS
58,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1012,133,A,Botnet,5062,SS
50,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1016,141,A,Botnet,5062,SS
42,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1020,135,A,Botnet,5062,SS
34,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1024,143,A,Botnet,5062,SS
26,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1028,137,A,Botnet,5062,SS
18,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1032,145,A,Botnet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1036,139,A,Botnet,5062,SS
18,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1040,147,A,Botnet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1044,141,A,Botnet,5062,SS
12,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1048,149,A,Botnet,5062,SS
9,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1046,11,B,DoS,5068,SS
