feature,importance
cat__Flag_APS,0.21266457904184818
num__Clusters,0.16475460289812965
num__USD,0.10343609121752402
num__BTC,0.10143178805936821
num__Netflow_Bytes,0.09516459709263922
cat__Flag_APRSF,0.057636043138144834
num__bytes_per_second,0.05622102622211236
cat__Protocol_TCP,0.032362282559478164
num__Port,0.03160771818312577
cat__Flag_APSF,0.02605319000093698
cat__Flag_AF,0.0205509610230908
cat__Protocol_ICMP,0.020493693703504467
cat__Protocol_UDP,0.017798158569627732
num__Time,0.013882513317032923
num__port_risk,0.011188777531627347
cat__netflow_bucket_low,0.009501660640708249
cat__Flag_ASF,0.006149267696420261
cat__Flag_R,0.004713307121806007
cat__Flag_A,0.004233326965960188
cat__Flag_ARF,0.003521050075284895
cat__netflow_bucket_high,0.0026923222277631413
cat__netflow_bucket_medium,0.002460225487875731
cat__Flag_AP,0.0014828172259907962
num__btc_flag,0.0
num__usd_flag,0.0
num__threat_score,0.0
